path,file,depth,category,feature,total,code,comment,blank,exports,importsOut,fanIn,unusedExports,hasClass,hasInterface,markers,isBarrel,god,orphan
backend/container/ContainerBuilder.ts,ContainerBuilder.ts,3,backend,core,228,213,0,15,1,68,5,0,1,0,0,0,0,0
backend/runs/RunUseCase.ts,RunUseCase.ts,3,backend,run,206,181,1,24,1,29,1,0,1,0,0,0,0,0
backend/workflows/WorkflowDefinitionService.ts,WorkflowDefinitionService.ts,3,backend,workflow,189,161,0,28,1,8,4,0,1,0,0,0,0,0
backend/runs/RunResumeService.ts,RunResumeService.ts,3,backend,run,175,155,1,19,1,21,5,0,1,0,0,0,0,0
backend/runs/StepExecutionKernelService.ts,StepExecutionKernelService.ts,3,backend,run,154,131,0,23,1,16,4,0,1,0,0,0,0,0
backend/workflows/WorkflowRunOrchestratorService.ts,WorkflowRunOrchestratorService.ts,3,backend,run,159,125,12,22,1,11,4,0,1,0,0,0,0,0
backend/runs/RunSuspensionService.ts,RunSuspensionService.ts,3,backend,run,123,109,0,14,2,11,6,0,1,1,0,0,0,0
backend/workflows/WorkflowStepRunnerService.ts,WorkflowStepRunnerService.ts,3,backend,run,116,106,0,10,1,8,3,0,1,0,0,0,0,0
backend/observation/ObservationCoordinator.ts,ObservationCoordinator.ts,3,backend,perception,108,91,0,17,2,9,6,0,1,1,0,0,0,0
backend/workflows/WorkflowLifecycleManager.ts,WorkflowLifecycleManager.ts,3,backend,workflow,108,86,12,10,1,7,3,0,1,0,0,0,0,0
backend/runs/RunLifecycleManager.ts,RunLifecycleManager.ts,3,backend,run,84,74,0,10,1,9,4,0,1,0,0,0,0,0
backend/platform/PlatformSessionFactory.ts,PlatformSessionFactory.ts,3,backend,platform,79,64,0,15,1,7,4,0,1,0,0,0,0,0
backend/platform/platformUrlUtils.ts,platformUrlUtils.ts,3,backend,platform,69,64,0,5,4,6,5,0,0,1,0,0,0,0
backend/runs/RunSessionService.ts,RunSessionService.ts,3,backend,run,73,63,0,10,3,10,5,0,1,1,0,0,0,0
backend/runs/RunTerminalizationService.ts,RunTerminalizationService.ts,3,backend,run,72,62,0,10,1,12,4,0,1,0,0,0,0,0
backend/runs/RunPlanCoordinator.ts,RunPlanCoordinator.ts,3,backend,run,68,61,0,7,1,6,2,0,1,0,0,0,0,0
backend/ExecutionController.ts,ExecutionController.ts,2,backend,core,71,59,0,12,1,2,18,0,1,0,0,0,0,0
backend/skills/SkillPlaybackService.ts,SkillPlaybackService.ts,3,backend,skill,66,58,0,8,3,8,2,0,1,1,0,0,0,0
backend/workflows/WorkflowStepPolicyService.ts,WorkflowStepPolicyService.ts,3,backend,workflow,69,56,0,13,1,2,3,0,1,0,0,0,0,0
backend/runs/RunHealthMonitorService.ts,RunHealthMonitorService.ts,3,backend,run,66,55,0,11,1,5,2,0,1,0,0,0,0,0
backend/observation/ObservationRingBuffer.ts,ObservationRingBuffer.ts,3,backend,perception,58,47,0,11,2,2,2,0,1,1,0,0,0,0
backend/skills/SkillsAppService.ts,SkillsAppService.ts,3,backend,skill,53,46,0,7,2,5,3,0,1,1,0,0,0,0
backend/platform/PlatformCapabilityNegotiationService.ts,PlatformCapabilityNegotiationService.ts,3,backend,platform,52,44,0,8,1,4,4,0,1,0,0,0,0,0
backend/runs/RunReplayService.ts,RunReplayService.ts,3,backend,run,52,42,1,9,3,5,3,0,1,1,0,0,0,0
backend/runs/RunDurabilityService.ts,RunDurabilityService.ts,3,backend,run,46,38,0,8,1,7,12,0,1,0,0,0,0,0
backend/runs/RunControlGateService.ts,RunControlGateService.ts,3,backend,run,43,36,0,7,2,8,3,0,1,0,0,0,0,0
backend/runs/RunQueries.ts,RunQueries.ts,3,backend,run,42,35,0,7,1,3,2,0,1,0,0,0,0,0
backend/dto.ts,dto.ts,2,backend,core,38,34,0,4,3,6,17,0,0,1,0,0,0,0
backend/prompts/PromptsAppService.ts,PromptsAppService.ts,3,backend,prompt,41,32,0,9,1,2,2,0,1,0,0,0,0,0
backend/policy/RuntimeReadinessPolicyService.ts,RuntimeReadinessPolicyService.ts,3,backend,run,40,31,0,9,1,3,4,0,1,0,0,0,0,0
backend/skills/SkillExtractionService.ts,SkillExtractionService.ts,3,backend,skill,34,29,0,5,1,4,3,0,1,0,0,0,0,0
backend/workflows/WorkflowQueries.ts,WorkflowQueries.ts,3,backend,workflow,35,29,0,6,1,3,1,0,1,0,0,0,0,0
backend/workflows/WorkflowStepGovernanceService.ts,WorkflowStepGovernanceService.ts,3,backend,workflow,32,29,0,3,1,4,3,0,1,0,0,0,0,0
backend/plugins/PluginsAppService.ts,PluginsAppService.ts,3,backend,plugin,31,26,0,5,1,3,3,0,1,0,0,0,0,0
backend/runs/RunBudgetPolicyService.ts,RunBudgetPolicyService.ts,3,backend,run,36,26,5,5,2,4,5,0,1,1,0,0,0,0
backend/runs/runObservation.ts,runObservation.ts,3,backend,run,33,24,6,3,2,5,2,0,0,1,0,0,0,0
backend/runs/runExecutionOptions.ts,runExecutionOptions.ts,3,backend,run,30,22,6,2,1,6,2,0,0,0,0,0,0,0
backend/runs/RunExecutionLaneService.ts,RunExecutionLaneService.ts,3,backend,run,26,20,0,6,2,2,3,0,1,1,0,0,0,0
backend/container-root.ts,container-root.ts,2,backend,core,22,18,0,4,2,2,9,0,0,0,0,0,0,0
backend/events/EventBus.ts,EventBus.ts,3,backend,logging,20,16,0,4,1,4,1,0,1,0,0,0,0,0
backend/runs/outcomes.ts,outcomes.ts,3,backend,run,19,16,0,3,2,1,2,0,0,0,0,0,0,0
backend/platform/PlatformSession.ts,PlatformSession.ts,3,backend,platform,17,15,0,2,1,5,3,0,0,1,0,0,0,0
backend/settings/SettingsAppService.ts,SettingsAppService.ts,3,backend,settings,18,15,0,3,1,3,2,0,1,0,0,0,0,0
backend/runs/RunReportingService.ts,RunReportingService.ts,3,backend,run,17,14,0,3,1,3,2,0,1,0,0,0,0,0
backend/runs/index.ts,index.ts,3,backend,run,2,1,0,1,1,1,6,0,0,0,0,1,0,0
apps/cli/HistoryCommand.ts,HistoryCommand.ts,3,cli,core,225,191,0,34,1,9,1,0,1,0,0,0,0,0
apps/cli/RunCommand.ts,RunCommand.ts,3,cli,run,204,181,0,23,1,19,1,0,1,0,0,0,0,0
apps/cli/workflow/definitionCommands.ts,definitionCommands.ts,4,cli,workflow,180,156,1,23,1,9,1,0,0,0,0,0,0,0
apps/cli/SettingsCommand.ts,SettingsCommand.ts,3,cli,settings,162,140,0,22,1,5,1,0,1,0,0,0,0,0
apps/cli/run/renderRunStream.ts,renderRunStream.ts,4,cli,run,137,124,6,7,1,6,1,0,0,0,0,0,0,0
apps/cli/workflow/runCommands.ts,runCommands.ts,4,cli,run,103,90,1,12,1,5,1,0,0,0,0,0,0,0
apps/cli/SkillsCommand.ts,SkillsCommand.ts,3,cli,skill,93,86,0,7,1,8,1,0,1,0,0,0,0,0
apps/cli/run/interactiveControls.ts,interactiveControls.ts,4,cli,run,80,64,4,12,2,5,1,0,0,1,0,0,0,0
apps/cli/workflow/workflowStepsFile.ts,workflowStepsFile.ts,4,cli,workflow,68,58,0,10,3,2,1,0,0,1,0,0,0,0
apps/cli/run/promptForMissingRunInputs.ts,promptForMissingRunInputs.ts,4,cli,run,69,57,5,7,1,2,1,0,0,0,0,0,0,0
apps/cli/workflow/executionCommand.ts,executionCommand.ts,4,cli,workflow,57,52,1,4,1,5,1,0,0,0,0,0,0,0
apps/cli/platformUtils.ts,platformUtils.ts,3,cli,platform,60,51,0,9,1,1,3,0,0,0,0,0,0,0
apps/cli/PluginsCommand.ts,PluginsCommand.ts,3,cli,plugin,53,48,0,5,1,5,1,0,1,0,0,0,0,0
apps/cli/InspectCommand.ts,InspectCommand.ts,3,cli,core,55,47,0,8,1,4,1,0,1,0,0,0,0,0
apps/cli/run/resumeCommand.ts,resumeCommand.ts,4,cli,run,49,47,0,2,1,6,1,0,0,0,0,0,0,0
apps/cli/ShellCommand.ts,ShellCommand.ts,3,cli,core,49,43,0,6,1,5,1,0,1,0,0,0,0,0
apps/cli/index.ts,index.ts,3,cli,core,45,37,0,8,0,14,0,0,0,0,0,1,0,0
apps/cli/run/replayCommand.ts,replayCommand.ts,4,cli,run,38,36,0,2,1,6,1,0,0,0,0,0,0,0
apps/cli/run/logLevel.ts,logLevel.ts,4,cli,run,23,19,0,4,4,1,1,0,0,0,0,0,0,0
apps/cli/WorkflowCommand.ts,WorkflowCommand.ts,3,cli,workflow,14,12,0,2,1,4,1,0,1,0,0,0,0,0
apps/cli/reportUtils.ts,reportUtils.ts,3,cli,core,12,9,0,3,2,2,2,0,0,0,0,0,0,0
package.json,package.json,1,config,core,102,101,0,1,0,0,0,0,0,0,0,0,0,0
vite.config.ts,vite.config.ts,1,config,core,63,60,0,3,1,4,0,0,0,0,0,0,0,0
tsconfig.json,tsconfig.json,1,config,core,49,48,0,1,0,0,0,0,0,0,0,0,0,0
.eslintrc.cjs,.eslintrc.cjs,1,config,core,36,24,9,3,0,0,0,0,0,0,0,0,0,0
vitest.config.ts,vitest.config.ts,1,config,core,27,21,4,2,1,2,0,0,0,0,0,0,0,0
apps/desktop/ipc/routers/workflowRouter.ts,workflowRouter.ts,5,desktop,workflow,237,205,0,32,1,13,1,0,0,0,0,0,0,0
apps/desktop/ipc/routers/runRouter.ts,runRouter.ts,5,desktop,run,143,126,0,17,1,15,1,0,0,0,0,0,0,0
apps/desktop/main.ts,main.ts,3,desktop,core,107,85,0,22,3,8,0,0,0,0,0,0,0,0
apps/desktop/ipc/routers/shared.ts,shared.ts,5,desktop,core,59,52,0,7,6,8,8,0,0,0,0,0,0,0
apps/desktop/ipc/routers/promptsRouter.ts,promptsRouter.ts,5,desktop,prompt,60,51,0,9,1,4,1,0,0,0,0,0,0,0
apps/desktop/ipc/routers/skillsRouter.ts,skillsRouter.ts,5,desktop,skill,47,42,0,5,1,6,1,0,0,0,0,0,0,0
apps/desktop/ipc/routers/historyRouter.ts,historyRouter.ts,5,desktop,core,22,20,0,2,1,4,1,0,0,0,0,0,0,0
apps/desktop/ipc/router.ts,router.ts,4,desktop,core,21,18,0,3,2,8,3,0,0,0,0,0,0,0
apps/desktop/ipc/routers/settingsRouter.ts,settingsRouter.ts,5,desktop,settings,19,17,0,2,1,4,1,0,0,0,0,0,0,0
apps/desktop/ipc/routers/pluginsRouter.ts,pluginsRouter.ts,5,desktop,plugin,15,13,0,2,1,4,1,0,0,0,0,0,0,0
apps/desktop/preload.ts,preload.ts,3,desktop,core,15,12,0,3,0,2,0,0,0,0,0,0,0,0
apps/desktop/electron-env.d.ts,electron-env.d.ts,3,desktop,platform,10,6,1,3,0,0,0,0,0,0,0,0,0,1
apps/desktop/ipc/routers/serializeRunOutput.ts,serializeRunOutput.ts,5,desktop,run,2,1,0,1,1,1,1,0,0,0,0,0,0,0
domain/value-objects/AgentAction.ts,AgentAction.ts,3,domain,agent-runtime,220,190,0,30,1,1,3,0,0,0,0,0,0,0
domain/entities/Run.ts,Run.ts,3,domain,run,108,98,0,10,3,2,12,0,0,1,0,0,0,0
domain/ports/agent/IAgentRuntime.ts,IAgentRuntime.ts,4,domain,run,77,59,7,11,6,10,27,0,0,1,0,0,0,0
domain/entities/Workflow.ts,Workflow.ts,3,domain,workflow,65,55,0,10,6,3,13,0,0,1,0,0,0,0
domain/enums.ts,enums.ts,2,domain,core,56,53,0,3,3,0,43,0,0,0,0,0,0,0
domain/types/PlatformConfig.ts,PlatformConfig.ts,3,domain,platform,64,50,0,14,13,1,23,0,0,1,0,0,0,0
domain/types/ToolTypes.ts,ToolTypes.ts,3,domain,tools,51,47,0,4,6,0,8,0,0,0,0,0,0,0
domain/value-objects/WorkflowState.ts,WorkflowState.ts,3,domain,workflow,54,45,0,9,2,2,15,0,0,1,0,0,0,0
domain/ports/agent/IPromptService.ts,IPromptService.ts,4,domain,prompt,48,42,0,6,5,1,13,0,0,1,0,0,0,0
domain/CDPValidator.ts,CDPValidator.ts,2,domain,core,54,41,0,13,1,2,2,0,1,0,0,0,0,0
domain/entities/Plan.ts,Plan.ts,3,domain,core,46,39,0,7,3,0,5,0,0,1,0,0,0,0
domain/WorkflowEvent.ts,WorkflowEvent.ts,2,domain,workflow,39,38,0,1,1,0,3,0,0,0,0,0,0,0
domain/entities/Skill.ts,Skill.ts,3,domain,skill,43,38,0,5,4,2,8,0,0,1,0,0,0,0
domain/ports/automation/IAppAutomation.ts,IAppAutomation.ts,4,domain,core,43,37,0,6,3,5,5,0,0,1,0,0,0,0
domain/errors.ts,errors.ts,2,domain,core,45,36,0,9,8,0,34,0,1,0,0,0,0,0
domain/ports/index.ts,index.ts,3,domain,core,45,31,7,7,31,31,73,0,0,0,0,1,0,0
domain/ports/reporting/ITraceService.ts,ITraceService.ts,4,domain,reporting,34,31,0,3,2,1,8,0,0,1,0,0,0,0
